Id,result,Name,AgeOfEstablishment,Fund,NumberOfEmployees,AverageIncome,OfficerAverageIncome,RateOfTurnover,Sales,ProfitRatio
741,No,Fields-Meyers,19,8260,816,218,318,0.83,8090,0.58
742,No,"Greene, White and Alvarado",36,5423,525,268,368,0.89,8257,0.62
743,No,Mcdaniel Group,45,8985,787,281,381,0.82,7266,0.67
744,No,Young Group,48,8724,910,256,356,0.51,4965,0.59
745,No,"Jones, Schmidt and Herman",28,8398,321,235,335,0.33,3095,0.7
746,No,Gill Ltd,9,2040,679,247,347,0.43,4446,0.6
747,No,Walters and Sons,18,504,862,241,341,0.6,2823,0.6
748,No,"Costa, Gilmore and Green",13,7707,221,74,174,0.72,2207,0.46
749,No,"Miller, Ramsey and Martinez",1,6999,4,293,393,0.55,3858,0.24
750,No,Turner Inc,23,6206,512,234,334,0.88,7458,0.46
751,No,"Terrell, Moore and Alvarado",13,9443,344,109,209,0.96,1167,0.44
752,No,Hendrix-Cervantes,1,8591,509,168,268,0.68,1304,0.25
753,No,Lawrence PLC,27,1055,518,183,283,0.3,8830,0.27
754,No,Wheeler-Lane,30,9609,192,172,272,0.59,3599,0.5
755,No,"Wilson, Cole and Matthews",26,3878,931,128,228,0.99,3732,0.56
756,No,Murray LLC,45,7410,819,205,305,0.72,9155,0.68
757,No,Lutz-Hodges,32,9118,469,110,210,0.32,9532,0.18
758,No,Pierce Ltd,42,1768,148,92,192,0.52,5396,0.59
759,No,Phillips-Sullivan,31,9737,71,97,197,0.98,8950,0.64
760,No,Stephens-Lawson,42,4526,656,163,263,0.72,9218,0.34
761,No,"Best, Schwartz and Jones",43,9348,250,201,301,0.99,1074,0.37
762,No,Watson-Rodriguez,2,4410,321,74,174,0.82,562,0.63
763,No,"Smith, Gould and Novak",24,5546,459,244,344,0.81,7206,0.19
764,No,"Williamson, James and Huber",23,7082,39,110,210,0.97,9410,0.3
765,No,Ponce-Scott,37,6909,260,127,227,0.68,7276,0.47
766,No,"Barrera, Clark and Jacobs",19,6354,238,229,329,0.85,962,0.11
767,No,Graham-Lee,27,4793,219,210,310,0.61,517,0.41
768,No,Harmon-Hobbs,43,7446,555,120,220,0.62,9017,0.17
769,No,Oconnell-Kane,13,6730,131,142,242,0.66,5054,0.6
770,No,Sanchez-Taylor,16,4500,971,257,357,0.93,8262,0.11
771,No,"Marshall, Walls and Strickland",33,560,817,270,370,0.35,345,0.6
772,No,Pearson LLC,8,2183,601,261,361,0.63,5557,0.31
773,No,Wallace-Miranda,36,3801,201,159,259,0.79,5462,0.62
774,No,Figueroa Ltd,43,305,665,293,393,0.86,9117,0.61
775,No,"Neal, Hall and Hayes",15,1766,26,191,291,0.42,9946,0.48
776,No,Nicholson-Alvarez,50,1569,210,228,328,0.25,6846,0.61
777,No,Compton-French,3,8823,366,165,265,0.81,811,0.61
778,No,Bennett-Mendoza,25,5355,817,212,312,0.71,9336,0.48
779,No,Lawrence-Osborne,9,6033,534,145,245,0.34,750,0.24
780,No,Montgomery-Crosby,43,554,116,254,354,0.8,7835,0.38
781,No,"Hansen, Holden and Smith",3,3969,739,83,183,0.51,6720,0.64
782,No,Miller-Williams,19,1206,37,269,369,0.44,3832,0.69
783,No,Medina-Jones,16,515,100,196,296,0.58,4658,0.24
784,No,Taylor-Huff,8,1194,236,164,264,0.34,2908,0.32
785,No,"Stevenson, Johnson and Coleman",12,3924,148,289,389,0.9,8527,0.63
786,No,Johnston LLC,11,5024,567,132,232,0.36,3181,0.36
787,No,"Lawrence, Wagner and French",7,5340,33,263,363,0.72,342,0.61
788,No,"Williams, Hernandez and Romero",25,6845,477,170,270,0.8,7865,0.57
789,No,Lopez and Sons,30,3111,601,197,297,0.93,2434,0.22
790,No,Bailey-Boyd,44,6142,764,137,237,0.49,419,0.54
791,No,Howard-Roberts,46,7816,657,139,239,0.48,4709,0.47
792,No,Mitchell-Hernandez,44,914,534,189,289,0.99,8928,0.12
793,No,Petersen-Taylor,7,6905,821,158,258,0.64,8608,0.19
794,No,Torres Ltd,41,4802,290,145,245,0.43,4813,0.36
795,No,"Brooks, Gardner and Ellis",11,5904,500,234,334,0.98,1947,0.55
796,No,Simmons PLC,37,5402,710,268,368,0.76,4648,0.22
797,No,Chung Ltd,13,2869,477,245,345,0.71,1619,0.63
798,No,Johnson PLC,36,7849,604,290,390,0.35,1057,0.25
799,No,"Meyer, Russell and Hawkins",12,7737,273,227,327,0.54,4818,0.53
800,No,Hall-Shea,21,3614,658,131,231,0.74,9696,0.48
801,No,Carter Ltd,12,6706,118,102,202,0.42,1468,0.34
802,No,David LLC,29,421,652,235,335,0.76,8898,0.57
803,No,Nguyen-Smith,6,655,267,114,214,0.68,4462,0.54
804,No,Ayala Group,50,3947,198,261,361,0.28,7449,0.41
805,No,George-Park,21,2467,249,219,319,0.93,3689,0.7
806,No,Moore-Rogers,34,7861,899,282,382,0.44,617,0.52
807,No,Parker Ltd,39,3861,559,86,186,0.61,9319,0.54
808,No,Chambers-Nelson,25,1065,35,86,186,0.99,6624,0.33
809,No,"Long, Orozco and Chapman",33,151,906,126,226,0.64,570,0.29
810,No,"Wright, Oconnell and Ramirez",0,4884,322,76,176,0.65,7209,0.54
811,No,Shields Ltd,47,9719,621,149,249,0.6,3211,0.1
812,No,"Ortiz, Moore and Gallegos",46,2329,295,289,389,0.77,7605,0.14
813,No,"Collins, Jacobs and Castillo",20,8381,742,155,255,0.49,9465,0.49
814,No,Mayer Group,1,2999,719,89,189,0.64,486,0.17
815,No,Abbott-Chapman,29,7302,861,156,256,0.27,1825,0.12
816,No,Hardy-Vasquez,41,2728,154,288,388,0.57,5550,0.7
817,No,"Lowe, Rodriguez and Watson",18,2985,649,242,342,0.26,5466,0.15
818,No,Riley-Green,7,5985,373,253,353,0.97,5592,0.62
819,No,Bishop LLC,2,4765,775,75,175,0.96,1673,0.18
820,No,Taylor and Sons,11,4451,23,118,218,0.42,7700,0.23
821,No,Dixon-Watkins,17,2563,770,107,207,0.25,5579,0.19
822,No,"Howe, Mccarthy and Price",28,9695,929,196,296,0.42,9891,0.51
823,No,Lee LLC,25,8065,382,77,177,0.39,7123,0.26
824,No,Proctor-Kennedy,13,6423,61,280,380,0.36,6438,0.59
825,No,"Hanna, Lewis and Glenn",8,833,67,114,214,0.83,567,0.54
826,No,Graham and Sons,44,4272,294,150,250,0.94,9128,0.26
827,No,"Garner, Brock and Macias",23,4887,19,242,342,0.87,9255,0.68
828,No,Tanner-Townsend,7,8044,443,286,386,0.62,8532,0.48
829,No,"Hanna, Nelson and Richardson",3,9812,173,295,395,0.82,564,0.47
830,No,Smith Group,21,7738,974,260,360,0.86,4214,0.44
831,No,Conner-Torres,32,7780,283,256,356,0.77,7232,0.43
832,No,Martin-Stout,25,7562,477,171,271,0.56,3489,0.22
833,No,Rose-Garcia,30,7853,630,111,211,0.57,5434,0.39
834,No,"Bailey, Barnes and Patterson",29,6526,883,243,343,0.87,2025,0.52
835,No,"Moore, Vaughan and Martinez",37,8909,31,221,321,0.26,4678,0.13
836,No,Arias PLC,33,3262,484,189,289,0.38,133,0.27
837,No,Lewis-Thompson,21,9339,799,188,288,0.49,3850,0.16
838,No,Sanders Ltd,19,4060,145,275,375,0.78,3382,0.19
839,No,Hamilton-Edwards,25,9427,722,89,189,0.43,9120,0.27
840,No,"Fisher, Mitchell and Simmons",19,8585,218,91,191,0.63,3109,0.13
841,No,"Solis, Williams and Miller",32,8298,257,188,288,0.5,1641,0.54
842,No,Rojas and Sons,19,5352,333,212,312,0.92,3231,0.19
843,No,Becker PLC,25,1854,141,88,188,0.38,7725,0.53
844,No,"Hernandez, Leblanc and Schmidt",34,4988,926,198,298,0.86,1646,0.12
845,No,"Rodriguez, Mcdonald and Brock",45,1086,190,133,233,0.67,4614,0.29
846,No,"Collins, Estrada and Moore",16,5831,187,151,251,0.52,9213,0.11
847,No,"Callahan, Shannon and Hunt",12,171,749,296,396,0.54,2272,0.12
848,No,"Chen, Willis and Allen",14,321,376,195,295,0.37,4226,0.2
849,No,"Mcdaniel, Kelly and Duke",31,4212,94,169,269,0.8,6380,0.17
850,No,Brown PLC,49,2480,248,224,324,0.37,6594,0.21
851,No,"Estes, Burke and James",44,3577,395,199,299,0.57,4196,0.27
852,No,"Newman, Holland and Bush",49,2547,738,244,344,0.99,5140,0.37
853,No,Goodman Inc,15,6880,155,190,290,0.81,3386,0.46
854,No,"Jordan, Miller and Brown",28,5972,689,245,345,0.67,5047,0.1
855,No,Valentine-Jones,21,3321,168,156,256,0.44,9137,0.7
856,No,Lynch-Morgan,28,9676,22,143,243,0.86,8193,0.51
857,No,"Dunn, Gordon and Franklin",8,1616,513,203,303,0.45,4166,0.66
858,No,Reynolds PLC,33,7723,332,152,252,0.86,9011,0.44
859,No,Lambert-Black,2,6194,190,89,189,0.49,7885,0.2
860,No,Larson-Tanner,12,4892,185,105,205,0.34,9823,0.63
861,No,Gonzalez-Martinez,36,4921,269,139,239,0.66,5957,0.5
862,No,Williams PLC,37,5846,704,162,262,0.85,743,0.26
863,No,Alexander and Sons,1,7499,755,123,223,0.66,9338,0.3
864,No,Marshall PLC,22,2734,250,227,327,0.69,2414,0.28
865,No,Riley-Adkins,6,2664,743,208,308,0.51,2038,0.2
866,No,Contreras-Rodriguez,37,6552,84,75,175,0.76,7083,0.12
867,No,Riley LLC,23,9612,609,288,388,0.61,9467,0.13
868,No,Lewis PLC,14,3102,745,200,300,0.93,1533,0.67
869,No,Reed-Watson,39,2980,534,126,226,0.92,9597,0.19
870,No,Herrera Ltd,42,3045,772,267,367,0.7,4201,0.25
871,No,"Casey, Roberts and Cruz",47,2878,6,136,236,0.88,8065,0.66
872,No,Brown LLC,24,5993,170,99,199,0.5,9280,0.24
873,No,White-Sanders,18,1091,658,70,170,0.73,6277,0.27
874,No,Adkins LLC,6,3846,9,180,280,0.41,6697,0.67
875,No,"Black, Stark and Kelly",40,8280,574,239,339,0.93,8719,0.59
876,No,"Shaffer, Rodriguez and Ali",33,8599,211,173,273,0.44,1529,0.13
877,No,"Garcia, Marquez and Martinez",46,2440,178,194,294,0.94,3274,0.14
878,No,Waller-Sullivan,2,8838,924,165,265,0.82,6027,0.31
879,No,"Hill, Neal and Cooper",30,629,706,79,179,0.89,7601,0.34
880,No,Moore PLC,41,8127,676,105,205,0.52,2879,0.1
881,No,Davis-Miller,8,7136,769,193,293,0.98,478,0.59
882,No,"Owens, Black and Greene",11,1483,473,199,299,0.85,2405,0.29
883,No,"Hernandez, Sutton and Cannon",6,9512,300,171,271,0.31,8306,0.58
884,No,Fitzpatrick Ltd,30,8442,953,177,277,0.28,4548,0.16
885,No,Gutierrez-Campbell,14,7847,359,297,397,0.5,5027,0.12
886,No,Lynch Ltd,10,1503,543,245,345,0.51,2975,0.26
887,No,Khan-Davis,28,7220,570,227,327,0.77,6155,0.35
888,No,Schultz-Moore,8,197,710,192,292,0.59,5114,0.26
889,No,"Miller, Carter and Caldwell",6,2894,57,261,361,0.62,8972,0.49
890,No,Barnett PLC,9,9308,931,293,393,0.95,2441,0.63
891,No,"Thomas, Hoffman and Alvarado",26,1154,188,73,173,0.47,243,0.34
892,No,"Williams, Wade and Owens",17,4521,134,271,371,0.35,4695,0.1
893,No,Oconnell PLC,44,985,263,293,393,0.76,8999,0.3
894,No,Skinner LLC,12,4549,741,165,265,0.92,751,0.54
895,No,"Smith, Martinez and Silva",40,5431,491,294,394,0.27,9790,0.46
896,No,Choi-Ward,29,1375,56,235,335,0.82,6711,0.61
897,No,"Mendez, Carlson and Myers",10,7419,163,158,258,0.81,6153,0.24
898,No,Gillespie and Sons,1,1149,784,157,257,0.75,6102,0.4
899,No,Johnson-King,12,417,139,152,252,0.65,6055,0.18
900,No,Ayala LLC,39,948,257,100,200,0.27,9243,0.62
901,No,Rivers and Sons,1,3973,110,252,352,0.91,2123,0.33
902,No,Turner and Sons,50,7556,565,285,385,0.62,3419,0.7
903,No,"Moore, Herman and James",46,4205,29,251,351,0.46,494,0.52
904,No,"Flynn, Rogers and Allison",36,5202,310,263,363,0.75,4083,0.64
905,No,Meyer-Hester,36,2893,296,193,293,0.96,9248,0.51
906,No,Randolph-Morrow,14,611,164,74,174,0.3,4372,0.18
907,No,"Ball, Stevens and Taylor",37,5324,893,276,376,0.72,326,0.58
908,No,Adams-Bauer,26,947,495,166,266,0.63,3987,0.22
909,No,Zimmerman-Chase,26,5528,316,201,301,0.84,5668,0.26
910,No,"Cisneros, Walker and Cole",1,9324,186,139,239,0.94,5814,0.61
911,No,"Mccoy, Ortiz and Powers",23,4144,950,274,374,0.25,5992,0.56
912,No,Clark-Hernandez,40,6756,804,285,385,0.27,2222,0.62
913,No,Thompson-Herrera,43,690,82,269,369,0.51,9376,0.15
914,No,Cannon Inc,44,7248,631,271,371,0.4,1744,0.35
915,No,"Richardson, Lynn and Hinton",24,7834,288,153,253,0.85,1023,0.6
916,No,Williams Inc,47,4623,371,121,221,0.57,9686,0.18
917,No,"Walsh, Long and Rodriguez",15,1502,989,274,374,0.36,3697,0.33
918,No,"Howell, Johnson and Miranda",21,9622,199,190,290,0.69,9831,0.18
919,No,Murphy-Reynolds,43,4254,996,95,195,0.84,1258,0.19
920,No,Benjamin Group,46,5116,788,75,175,0.6,5673,0.42
921,No,Barnett-Carlson,41,7909,438,225,325,0.74,6952,0.47
922,No,"Anderson, Morris and Garcia",46,9157,309,287,387,0.44,9683,0.2
923,No,Cole Ltd,48,2277,25,170,270,0.78,2046,0.7
924,No,White-Tucker,11,2002,818,235,335,0.72,1811,0.58
925,No,Long-Hall,1,4129,380,70,170,0.56,156,0.41
926,No,Parks and Sons,50,2272,457,139,239,0.8,8260,0.62
927,No,Chapman-Flores,50,104,818,153,253,0.3,7861,0.38
928,No,"Henry, Carter and Marsh",44,2576,746,128,228,0.25,3415,0.43
929,No,Hicks-Boyd,28,4552,904,195,295,0.55,407,0.64
930,No,"Harris, Grant and Ritter",9,8575,373,87,187,0.62,7172,0.17
931,No,Reid Ltd,32,5233,753,169,269,0.72,264,0.28
932,No,Gonzales Group,47,6097,381,155,255,0.66,8360,0.1
933,No,Nichols-Butler,9,232,708,129,229,0.74,9561,0.35
934,No,"Wood, Santiago and Terry",26,7725,923,144,244,0.48,2203,0.47
935,No,"Wood, York and Vazquez",45,6570,857,276,376,0.73,4624,0.61
936,No,"Lloyd, Mitchell and Jackson",37,9680,618,227,327,0.34,4472,0.42
937,No,Edwards Inc,35,292,182,282,382,0.77,8817,0.49
938,No,Singleton-White,37,9050,45,79,179,0.89,774,0.39
939,No,Lucas and Sons,45,1830,682,161,261,0.56,1161,0.39
940,No,"Brown, Lewis and Gomez",24,7617,148,229,329,0.39,8590,0.6
941,No,Wood and Sons,48,7389,183,131,231,0.85,5474,0.34
942,No,Kelley PLC,31,7198,685,181,281,0.79,2251,0.2
943,No,"Webster, Stone and Lawson",42,2416,712,220,320,0.93,827,0.33
944,No,"Wolf, Cox and Young",19,8734,741,229,329,0.55,6289,0.57
945,No,Graves LLC,24,1525,510,293,393,0.91,7919,0.18
946,No,Cook PLC,8,4584,492,256,356,0.31,2577,0.14
947,No,"Hernandez, Durham and Horton",24,4244,675,258,358,0.27,2572,0.25
948,No,Watkins-Baker,33,755,648,191,291,0.81,9263,0.41
949,No,"Luna, Morton and Wells",7,4839,746,170,270,0.73,1056,0.54
950,No,Jackson-Mcmahon,32,5542,731,223,323,0.82,6650,0.38
951,No,Collins-Oconnor,26,7742,448,244,344,0.58,9300,0.31
952,No,Snow PLC,19,6540,329,289,389,0.6,5994,0.41
953,No,"Hunt, Jones and Peterson",21,8934,22,115,215,0.56,3031,0.41
954,No,"Clark, Johnson and Thomas",13,7895,983,131,231,0.69,8817,0.64
955,No,"Nicholson, Davis and Mcfarland",43,8223,806,70,170,0.7,2458,0.22
956,No,"House, Davis and Bass",10,7955,678,112,212,0.8,5740,0.39
957,No,Trujillo-Gilbert,11,1333,663,84,184,0.53,3210,0.64
958,No,Donaldson and Sons,49,9482,175,127,227,0.35,4198,0.56
959,No,Murphy-Beck,16,580,461,178,278,0.59,6060,0.52
960,No,Arias-Robinson,9,6955,841,261,361,0.34,2600,0.15
961,No,"Pena, Reynolds and Bond",17,4385,704,215,315,0.49,5162,0.41
962,No,"Hodges, Newton and Pineda",18,2083,822,106,206,0.99,1241,0.69
963,No,Butler and Sons,14,8580,684,118,218,0.84,5987,0.27
964,No,"Yang, Knight and Long",41,7397,782,83,183,0.71,3968,0.65
965,No,"Dennis, Moore and Montoya",46,8282,587,236,336,0.31,6333,0.16
966,No,Walters Group,10,7661,785,149,249,0.67,3161,0.17
967,No,Miller-Logan,34,921,519,278,378,0.68,1637,0.69
968,No,Mason-Robinson,30,3188,151,275,375,0.54,2763,0.56
969,No,Goodman-Sharp,13,5881,430,89,189,0.73,6365,0.29
970,No,Clark Group,13,1548,680,217,317,0.57,5519,0.54
971,No,Frazier-Barrett,12,2993,859,171,271,0.52,5704,0.41
972,No,Bennett PLC,32,927,741,264,364,0.87,8660,0.13
973,No,"Andrews, Massey and Davis",37,8260,982,117,217,0.99,1280,0.39
974,No,Zimmerman PLC,22,400,756,268,368,0.45,1533,0.49
975,No,Holland Inc,29,9985,245,240,340,0.94,6729,0.18
976,No,Brandt Group,44,8330,778,124,224,0.6,6082,0.37
977,No,"Ray, Freeman and Fowler",24,6260,85,232,332,0.78,9280,0.62
978,No,Serrano-Martinez,5,8091,263,111,211,0.58,5570,0.47
979,No,Johnson-Zimmerman,31,3272,598,208,308,0.66,7269,0.18
980,No,Huffman LLC,16,1747,788,189,289,0.44,9414,0.39
981,No,Miles-Henry,2,8213,602,213,313,0.77,1905,0.24
982,No,Alvarado and Sons,20,1719,114,108,208,0.81,5597,0.66
983,No,Diaz-Duran,40,3099,432,297,397,0.38,3956,0.65
984,No,"Black, Rogers and Hernandez",17,8112,184,187,287,0.93,9595,0.6
985,No,Myers-Peters,20,2240,378,296,396,0.94,2566,0.56
986,No,Evans-Miller,28,5026,145,72,172,0.88,2140,0.49
987,No,Mitchell Ltd,5,1150,128,216,316,0.98,9145,0.12
988,No,Walton-Alexander,5,2543,338,280,380,0.44,7034,0.45
989,No,"Hernandez, Davis and Vance",0,787,588,74,174,0.4,7326,0.61
990,No,Armstrong-Greene,49,9385,799,80,180,0.48,2697,0.69
991,No,"Nguyen, Macdonald and Love",31,1662,715,271,371,0.84,2106,0.22
992,No,West Ltd,49,4822,498,117,217,0.61,7756,0.17
993,No,Jackson Ltd,42,9669,995,258,358,1.0,6367,0.54
994,No,"Rivera, Dickerson and David",4,4759,978,150,250,0.49,9872,0.41
995,No,Hudson Group,18,8962,991,94,194,0.32,3568,0.56
996,No,"Calderon, Spencer and Miller",33,5258,221,192,292,0.94,8879,0.54
997,No,Hansen-Reilly,31,8554,296,81,181,0.25,6923,0.14
998,No,Reid-Murillo,39,4102,567,278,378,0.87,689,0.32
999,No,Richards PLC,7,8608,858,164,264,0.79,7197,0.62
1000,No,"Hayes, Norton and Kelly",10,6562,279,74,174,0.36,6206,0.3
